Name|Genre|Type|Length
Neko no Ongaeshi|Adventure, Drama, Fantasy|Movie|Short, 1h15
Ryuu to Sobakasu no Hime|Drama, Fantasy|Movie|Short, 2h02
Tenchi Muyou! In Love|Action, Comedy, Romance, Sci-Fi|Movie|Short, 1h34
The Girl Who Leapt Through Time|Drama, Romance, Sci-Fi|Movie|Short, 1h39
Anohana|Drama, Slice of Life, Supernatural|Series|Short, 1 Season (11)
Grave of the Fireflies|Drama|Movie|Short, 1h28
Blue Exorcist|Action, Fantasy|Series|Short, 2 Seasons (25/12)
Date A Live|Comedy, Romance, Sci-Fi|Series|Short, 6 Seasons 1 Movie (12/1/10/1h12/12/12/Not Aired)
Kekkai Sensen|Action, Comedy, Fantasy, Supernatural|Series|Short, 2 Seasons (12/12)
Sky Wizards Academy|Action, Drama, Fantasy|Series|Short, 2 Seasons (12/1)
The Irregular at Magic High School|Action, Romance, Sci-Fi, Supernatural|Series|Short, 3 Seasons (26/13/Not Aired)
Mairimashita! Iruma-kun|Comedy, Fantasy, Supernatural|Series|Long, 3 Seasons (23/21/21 2023)
Noragami|Action, Fantasy|Series|Short, 2 Seasons (12/13)
Piano no Mori|Adventure, Comedy, Drama|Series|Short, 2 Seasons (12/12)
ReLIFE|Drama, Romance, Slice of Life|Series|Short, 2 Seasons (13/4)
Tengen Toppa Gurren Lagann|Action, Adventure, Comedy, Sci-Fi|Series|Short, 1 Season (27)
